"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"TDNB","-","-","0","0","","v Pakistan","Colombo (RPS)","13 Jun 2012"
"40","-","-","1","0","","v Pakistan","Colombo (RPS)","16 Jun 2012"
"0","-","-","1","0","","v Pakistan","Colombo (RPS)","18 Jun 2012"
"12","-","-","0","0","","v India","Hambantota","21 Jul 2012"
"DNB","-","-","0","0","","v India","Hambantota","24 Jul 2012"
"65","-","-","0","0","","v India","Colombo (RPS)","28 Jul 2012"
"3","-","-","0","0","","v India","Colombo (RPS)","31 Jul 2012"
"43*","-","-","1","0","","v New Zealand","Pallekele","4 Nov 2012"
"5","-","-","1","0","","v New Zealand","Pallekele","6 Nov 2012"
"DNB","-","-","0","0","","v New Zealand","Hambantota","10 Nov 2012"
"24","-","-","-","-","","v New Zealand","Hambantota","12 Nov 2012"
"5","-","-","0","0","","v Australia","Melbourne","11 Jan 2013"
"DNB","-","-","0","0","","v Australia","Adelaide","13 Jan 2013"
"1","-","-","1","0","","v Australia","Brisbane","18 Jan 2013"
"4*","-","-","0","0","","v Australia","Sydney","20 Jan 2013"
"38","-","-","0","0","","v Australia","Hobart","23 Jan 2013"
"4","-","-","1","0","","v New Zealand","Cardiff","9 Jun 2013"
"42","-","-","1","0","","v England","The Oval","13 Jun 2013"
"84*","-","-","0","0","","v Australia","The Oval","17 Jun 2013"
"38","-","-","0","0","","v India","Cardiff","20 Jun 2013"
"52","-","-","1","0","","v West Indies","Kingston","28 Jun 2013"
"107","-","-","0","0","","v India","Kingston","2 Jul 2013"
"7","-","-","1","0","","v West Indies","Port of Spain","7 Jul 2013"
