"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"9","1","13","0","0","","v West Indies","Kingstown","30 Apr 1997"
"65*","0","4","0","0","","v West Indies","Port of Spain","27 Apr 1997"
"44","0","11","0","0","","v West Indies","Port of Spain","26 Apr 1997"
"13","-","-","0","0","","v Zimbabwe","Bulawayo","15 Feb 1997"
"45","1","19","0","0","","v South Africa","Durban","13 Feb 1997"
"32","-","-","0","0","","v South Africa","Durban","12 Feb 1997"
"104","0","16","0","0","","v Zimbabwe","Benoni","9 Feb 1997"
"41","0","11","0","0","","v Zimbabwe","Centurion","7 Feb 1997"
"14","0","17","0","0","","v South Africa","East London","4 Feb 1997"
"1","-","-","0","0","","v South Africa","Port Elizabeth","2 Feb 1997"
"6","0","22","0","0","","v Zimbabwe","Paarl","27 Jan 1997"
"0","-","-","1","0","","v South Africa","Bloemfontein","23 Jan 1997"
"114","-","-","0","0","","v South Africa","Mumbai","14 Dec 1996"
"67","-","-","0","0","","v South Africa","Mumbai","6 Nov 1996"
"62","0","0","0","0","","v Australia","Mohali","3 Nov 1996"
"28","0","13","1","0","","v South Africa","Rajkot","29 Oct 1996"
"64","0","22","0","0","","v South Africa","Jaipur","23 Oct 1996"
"88","1","45","2","0","","v Australia","Bengaluru","21 Oct 1996"
"11","0","28","0","0","","v South Africa","Hyderabad (Deccan)","17 Oct 1996"
"23","-","-","0","0","","v Pakistan","Toronto","23 Sep 1996"
"3","1","22","0","0","","v Pakistan","Toronto","21 Sep 1996"
"2","0","17","2","0","","v Pakistan","Toronto","18 Sep 1996"
"20","1","35","0","0","","v Pakistan","Toronto","17 Sep 1996"
"89*","0","12","1","0","","v Pakistan","Toronto","16 Sep 1996"
"7","0","38","1","0","","v Australia","Colombo (SSC)","6 Sep 1996"
"40","0","20","1","0","","v Zimbabwe","Colombo (SSC)","1 Sep 1996"
"110","1","29","0","0","","v Sri Lanka","Colombo (RPS)","28 Aug 1996"
"1","0","22","0","0","","v England","Manchester","26 May 1996"
"6","0","15","1","0","","v England","Leeds","25 May 1996"
"30","0","44","1","0","","v England","The Oval","23 May 1996"
"57","0","51","0","0","","v South Africa","Sharjah","19 Apr 1996"
"17","-","-","0","0","","v South Africa","Sharjah","17 Apr 1996"
"118","2","40","0","0","","v Pakistan","Sharjah","15 Apr 1996"
"2","0","40","1","0","","v South Africa","Sharjah","14 Apr 1996"
"1","1","46","0","0","","v Pakistan","Sharjah","12 Apr 1996"
"100","0","18","0","0","","v Pakistan","Singapore","5 Apr 1996"
"28","0","19","0","0","","v Sri Lanka","Singapore","3 Apr 1996"
"65","2","34","1","0","","v Sri Lanka","Kolkata","13 Mar 1996"
"31","0","25","0","0","","v Pakistan","Bengaluru","9 Mar 1996"
"3","0","23","1","0","","v Zimbabwe","Kanpur","6 Mar 1996"
"137","0","41","0","0","","v Sri Lanka","Delhi","2 Mar 1996"
"90","-","-","0","0","","v Australia","Mumbai","27 Feb 1996"
"70","-","-","0","0","","v West Indies","Gwalior","21 Feb 1996"
"127*","0","26","0","0","","v Kenya","Cuttack","18 Feb 1996"
"1","-","-","0","0","","v New Zealand","Mumbai (BS)","29 Nov 1995"
"65","0","54","0","0","","v New Zealand","Nagpur","26 Nov 1995"
"7","2","49","1","0","","v New Zealand","Pune","24 Nov 1995"
"39","1","15","1","0","","v New Zealand","Amritsar","18 Nov 1995"
"30","0","18","0","0","","v New Zealand","Jamshedpur","15 Nov 1995"
"41","0","10","0","0","","v Sri Lanka","Sharjah","14 Apr 1995"
"112*","-","-","1","0","","v Sri Lanka","Sharjah","9 Apr 1995"
"4","0","27","2","0","","v Pakistan","Sharjah","7 Apr 1995"
"48","-","-","0","0","","v Bangladesh","Sharjah","5 Apr 1995"
"47","1","33","1","0","","v Australia","Dunedin","22 Feb 1995"
"37","0","43","0","0","","v South Africa","Hamilton","18 Feb 1995"
"13","-","-","0","0","","v New Zealand","Napier","16 Feb 1995"
"105","0","31","0","0","","v West Indies","Jaipur","11 Nov 1994"
"88","0","20","0","0","","v West Indies","Cuttack","9 Nov 1994"
"54","1","39","0","0","","v West Indies","Visakhapatnam","7 Nov 1994"
"66","1","35","1","0","","v West Indies","Kolkata","5 Nov 1994"
"62","2","29","0","0","","v New Zealand","Delhi","3 Nov 1994"
"34","2","31","1","0","","v West Indies","Kanpur","30 Oct 1994"
"115","0","27","0","0","","v New Zealand","Vadodara","28 Oct 1994"
"8","3","36","1","0","","v West Indies","Chennai","23 Oct 1994"
"0","-","-","1","0","","v West Indies","Mumbai","20 Oct 1994"
"0","0","32","0","0","","v West Indies","Faridabad","17 Oct 1994"
"0","-","-","0","0","","v Sri Lanka","Colombo (SSC)","17 Sep 1994"
"110","0","15","0","0","","v Australia","Colombo (RPS)","9 Sep 1994"
"6","0","21","0","0","","v Sri Lanka","Colombo (RPS)","5 Sep 1994"
"11*","-","-","-","-","","v Sri Lanka","Colombo (RPS)","4 Sep 1994"
"24","0","45","0","0","","v Pakistan","Sharjah","22 Apr 1994"
"6","0","39","1","0","","v Australia","Sharjah","19 Apr 1994"
"73","0","34","0","0","","v Pakistan","Sharjah","15 Apr 1994"
"63","0","22","1","0","","v U.A.E.","Sharjah","13 Apr 1994"
